rowlabel,sex,age,yrsarea,genhealt,cry2,relig3,tenure1,hominsur,persinc,inner,rural3,rubbcomm,vandcomm,livharm1a,tenharm,struct3,ethgrp2a,illONS,educat3,remploya,threviol2,walkdark,emdiqu15x,polatt7,confx
176159240,1,59,2,2,1,1,1,2,3,0,2,3,3,5,1,1,1,3,4,3,2,2,2,2,-0.608447834
176160240,2,35,5,1,1,1,2,1,6,0,1,3,3,3,1,1,1,1,3,1,2,2,3,4,-2.285010314
176160320,1,57,2,2,1,1,2,1,13,0,1,3,3,1,1,1,1,1,2,1,2,1,4,2,-0.88707249
176161080,1,56,5,2,1,2,2,1,11,0,1,4,4,1,1,1,1,1,2,1,2,1,5,2,0.266492235
176161160,2,30,5,4,3,1,4,1,11,0,2,3,4,2,3,2,1,1,2,1,2,4,3,3,-0.869084565
176162080,2,42,6,1,1,2,2,1,11,0,2,4,4,3,1,3,1,3,4,1,2,2,3,2,0.540957536
176163160,1,56,7,2,1,1,1,1,5,0,1,2,2,1,1,1,1,1,1,1,2,1,1,1,0.987340083
176164320,2,54,7,4,1,2,4,2,2,0,2,4,4,6,2,1,1,3,1,3,2,4,1,1,1.665469564
176166160,1,31,2,1,1,1,4,1,8,0,2,2,2,2,3,1,1,1,1,1,2,4,2,1,1.665469564
176167080,2,70,7,2,4,2,1,1,9,0,2,4,4,1,1,4,1,1,4,3,2,2,5,1,1.247798787
176167160,1,49,6,2,7,2,4,2,5,0,2,4,4,4,3,1,4,1,3,1,2,2,4,1,1.665469564
176167240,2,62,7,2,1,1,1,1,11,0,2,4,4,1,1,4,1,1,4,3,2,3,3,4,-1.76703473
176168160,2,59,6,2,1,2,2,1,7,0,1,4,4,1,1,1,1,1,4,1,2,2,5,2,0.066739823
176168320,2,37,3,2,1,1,4,1,8,0,1,2,4,3,3,3,1,1,3,1,2,4,3,1,1.247798787
176169160,1,80,7,1,1,2,1,1,2,0,2,4,4,6,1,4,1,1,1,3,2,1,3,1,0.772363542
176169320,1,37,3,1,1,1,2,1,9,0,2,3,3,3,1,1,1,3,4,1,2,1,5,2,-0.208943009
176171160,2,72,7,2,1,2,1,1,7,0,2,4,4,1,1,4,1,1,4,3,2,2,5,2,-0.169344494
176172240,1,52,6,2,1,2,2,1,14,0,1,3,4,1,1,1,1,1,4,1,2,1,4,2,0.944621716
176175080,2,38,4,1,1,2,2,1,14,0,2,4,4,1,1,2,1,1,4,3,2,1,5,1,1.034039778
176175160,2,37,3,1,7,6,2,1,5,0,2,4,4,1,1,2,1,1,4,3,2,1,5,1,1.23379219
176176080,2,27,3,1,1,1,2,1,12,0,2,4,4,1,1,2,1,1,2,3,2,2,5,3,0.021079632
176176160,1,43,2,3,1,1,2,1,11,0,2,4,4,2,1,1,1,1,2,1,2,1,4,3,-1.129543269
176177080,2,30,7,2,1,2,2,1,12,0,2,3,3,1,1,2,1,3,4,1,2,3,4,2,-0.500356731
176177240,1,63,2,1,1,1,2,1,12,0,2,3,3,1,1,4,1,1,3,1,2,3,1,3,-1.074200076
176179320,2,56,7,2,1,1,1,1,13,0,1,3,3,1,1,1,1,1,2,1,2,2,3,3,-0.872026389
176182240,2,54,7,3,1,2,2,1,5,0,2,4,4,6,1,1,1,3,2,1,2,2,5,2,0.266492235
176182320,2,22,3,2,1,2,5,1,5,0,2,4,4,3,3,1,1,2,4,1,2,2,5,2,0.09111421
176183080,1,46,5,2,7,2,1,1,14,0,1,4,4,1,1,2,1,1,4,1,2,1,5,1,0.036469594
176184320,1,51,7,3,1,1,2,1,12,0,2,1,3,2,1,1,1,1,3,1,2,2,1,2,0.266492235
176185080,2,54,6,2,1,2,2,1,7,0,2,4,4,2,1,1,1,1,4,1,2,2,2,2,-0.394688825
176186080,1,27,2,1,7,2,2,1,9,0,2,4,4,1,1,1,1,1,4,1,2,1,1,1,0.711657251
176186320,2,44,6,2,2,2,2,1,14,0,2,4,4,1,1,2,1,2,4,1,2,4,4,1,0.714599075
176187320,2,34,2,3,1,2,4,2,3,0,2,2,3,4,2,3,1,3,3,3,2,2,1,3,-0.193896909
176188080,1,40,6,1,7,2,4,2,4,0,1,2,3,1,3,2,3,1,3,1,2,3,1,2,0.266492235
176188240,1,37,5,2,1,1,2,1,13,0,1,3,4,1,1,2,1,1,4,1,2,2,4,2,-0.376522873
176189080,2,27,7,1,1,2,4,1,5,0,2,2,4,2,3,2,1,1,4,1,2,2,1,5,-3.93043975
176190160,2,65,7,2,1,2,1,1,5,0,1,4,4,6,1,4,1,1,3,1,2,2,5,4,-0.859922113
176190240,1,19,6,2,1,1,2,1,15,0,2,4,4,3,1,2,1,1,2,3,2,1,4,3,-0.689222398
176191080,1,27,1,1,1,1,2,1,5,1,2,3,3,3,1,1,1,1,4,1,2,3,1,1,0.946524036
176191160,1,38,5,2,7,2,4,2,3,1,2,3,3,2,2,2,1,1,1,1,2,3,1,4,-0.688182894
176191240,2,37,6,1,1,6,1,1,4,1,2,3,3,1,1,2,3,1,3,1,2,2,1,4,-2.010545014
176192080,1,54,7,1,1,1,2,1,10,0,2,4,4,1,1,2,1,1,4,1,2,1,2,3,-0.602924187
176192160,1,77,7,2,1,1,1,1,2,0,1,4,4,6,1,4,1,1,1,3,2,3,4,2,0.266492235
176192240,2,80,7,3,4,2,1,1,7,0,1,4,4,6,1,4,1,1,4,3,2,3,4,2,0.266492235
176192320,2,59,6,1,1,1,1,1,5,0,1,4,4,2,1,1,1,1,1,1,2,4,4,2,0.744869304
176193080,1,53,7,1,1,2,1,1,11,0,1,4,4,1,1,1,1,1,3,1,2,2,5,3,-0.853860437
176193160,1,70,7,2,1,1,1,1,6,0,1,4,4,1,1,4,1,1,4,3,2,2,5,2,-0.18335109
176193240,2,45,3,2,1,1,2,1,12,0,1,4,4,2,1,1,1,1,4,1,2,2,5,4,-1.774460697
176194240,2,28,2,1,7,2,4,2,6,0,2,3,4,1,3,1,4,1,4,1,2,3,2,2,-0.208943009
176195080,2,71,7,3,1,2,1,1,4,0,2,4,4,2,1,4,1,3,1,3,2,2,1,4,-1.287440131
176195240,1,71,5,3,1,1,1,1,4,0,2,4,4,1,1,4,1,1,4,3,2,1,1,2,0.022981952
176196240,2,46,6,3,1,2,2,1,13,0,1,4,4,1,1,1,1,3,4,2,2,2,4,2,0.283440656
176200160,1,68,7,2,1,2,1,1,4,1,2,3,3,3,1,4,1,1,1,3,2,1,3,3,-1.132485093
176200320,1,58,6,1,1,1,1,1,14,0,1,4,4,1,1,1,1,1,3,1,2,1,3,2,0.266492235
176201160,2,29,1,3,1,1,4,1,8,0,2,3,3,2,3,2,1,3,4,1,1,3,5,2,-0.426861374
176203080,2,59,5,1,1,2,2,1,8,0,1,2,4,1,1,1,1,1,4,1,2,2,4,1,1.433544602
176203240,2,33,1,1,1,1,4,1,4,0,1,4,4,3,3,3,2,1,4,1,2,2,5,2,-0.405753598
176204080,2,29,7,1,1,1,4,1,11,0,1,3,4,2,3,2,1,1,3,1,2,2,3,3,-1.089944754
176206080,1,26,2,1,7,6,4,2,3,1,2,3,3,3,3,1,3,1,5,1,2,3,1,3,-0.814261921
176206160,1,70,7,3,1,2,1,1,4,1,2,3,3,6,1,4,1,3,1,3,2,2,1,1,0.021245466
176207240,2,31,6,2,1,1,4,2,4,0,2,3,4,3,2,3,1,1,5,1,2,3,1,3,-1.607920338
176208240,1,45,7,2,1,1,2,1,6,0,2,4,4,1,1,2,1,1,3,1,2,2,5,4,-1.367529906
176209240,1,39,5,2,1,2,2,1,10,0,1,3,3,1,1,2,1,1,3,1,2,1,4,2,-0.401269455
176210080,2,54,7,3,1,2,1,1,12,0,1,3,3,1,1,1,1,3,4,1,2,3,4,4,-2.964357327
176210240,1,44,1,2,7,1,2,2,11,0,1,3,3,1,1,2,1,1,4,1,2,1,3,2,-0.208943009
176211080,1,39,6,3,1,2,4,1,3,0,2,4,4,1,3,2,1,3,2,3,2,2,4,4,-1.317191405
176211160,2,34,5,5,1,2,4,2,5,0,2,1,1,3,2,3,1,3,3,1,2,1,2,4,-1.549116366
176212080,2,31,4,2,7,1,2,1,10,0,2,3,3,2,1,2,1,1,3,1,1,2,5,2,-0.42391955
176212160,1,39,4,2,1,2,2,1,5,0,2,3,3,3,1,1,1,1,4,1,2,2,5,2,-1.10204903
176213080,2,66,7,2,1,2,1,1,7,0,2,4,4,1,1,4,1,1,4,1,2,3,4,4,-1.085266444
176213240,2,68,7,2,1,2,1,1,12,0,2,4,4,1,1,4,1,1,4,3,2,3,4,2,0.352790446
176214080,2,64,7,5,7,6,1,2,2,0,2,3,4,6,1,4,3,3,4,3,2,4,3,5,-2.844161947
176214240,2,45,7,1,1,2,4,1,5,0,2,4,4,5,2,1,1,1,1,1,2,3,4,3,-0.872026389
176215160,1,38,5,2,7,2,4,2,4,0,2,3,3,2,3,1,1,1,4,1,2,3,1,4,-2.010545014
176216240,2,57,4,3,1,2,1,1,7,0,1,4,4,2,1,1,1,2,2,3,2,3,5,2,0.266492235
176218080,2,59,7,1,1,2,2,1,12,0,2,4,4,1,1,1,1,1,4,1,2,1,5,2,0.526950939
176218240,2,25,7,1,1,2,4,2,1,0,1,3,3,3,3,2,1,1,3,3,2,2,4,2,-1.044284563
176218320,1,66,7,1,1,2,1,1,7,0,1,4,4,1,1,4,1,1,4,3,2,3,4,1,0.790529495
186230160,2,44,5,2,7,2,4,2,3,0,2,3,4,1,3,2,1,1,2,3,2,3,3,2,0.266492235
186230240,1,34,5,2,7,2,2,1,12,0,2,4,4,1,1,2,1,1,3,1,2,1,5,2,1.002386184
186231160,1,57,7,1,7,7,1,1,12,0,2,4,4,1,1,1,3,1,4,1,2,3,2,2,-0.177987992
186233240,1,43,1,2,1,2,2,1,14,0,2,4,4,1,1,2,1,1,4,1,2,1,5,2,-0.601021867
186236240,2,40,5,2,7,4,2,1,5,0,2,3,4,1,1,2,3,1,4,1,2,2,3,2,0.266492235
186240080,2,52,6,1,1,2,2,1,7,0,2,3,3,5,1,3,1,1,4,1,1,4,3,2,-0.565907494
186241240,1,50,6,2,7,6,2,1,7,0,2,3,3,4,1,1,3,1,3,1,2,1,4,1,0.740190993
186242080,2,60,6,2,1,1,1,1,7,0,2,4,4,3,1,4,1,3,4,1,2,1,4,2,-0.84453215
186242160,1,72,7,3,1,2,4,2,2,1,2,4,4,3,2,4,1,2,2,3,2,1,1,2,-0.364937551
186244160,2,45,6,1,7,5,2,1,14,0,2,4,4,1,1,2,1,1,4,3,2,3,5,2,-0.208943009
186246080,2,42,3,1,7,2,2,1,14,0,2,3,3,2,1,1,1,1,4,1,2,1,3,2,0.266492235
186248240,2,36,6,1,1,2,2,1,11,0,2,4,4,1,1,2,1,1,4,1,2,1,4,2,-0.394688825
186249240,2,40,6,1,1,2,2,1,14,0,2,4,4,1,1,2,1,1,4,1,2,2,5,2,0.095273566
186252640,1,53,6,1,1,1,2,1,14,0,2,2,3,1,1,1,1,1,4,1,2,2,2,2,-0.643562207
186254080,1,43,7,2,1,1,2,2,8,1,2,3,4,3,1,1,1,1,3,1,2,1,1,4,-1.349363954
186256160,1,65,7,3,1,2,1,1,4,0,2,2,4,2,1,1,1,1,4,3,2,2,1,2,0.266492235
186257160,1,47,6,1,1,1,2,1,11,0,2,4,4,1,1,1,1,1,2,1,2,1,4,3,-1.76513241
186258080,2,52,7,1,1,2,1,1,11,0,2,4,4,1,1,1,1,1,4,3,2,1,3,2,0.048573871
186258240,2,31,2,1,1,2,4,1,12,0,2,3,4,2,3,1,1,2,4,1,2,1,4,2,0.526950939
